영화제목,영화링크,평점,댓글
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
제8일의 밤,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=185949&target=after,2,"공포영화라 개연성은 어차피 포기하고.웃긴게 배우들은 개 진지하게 연기하는데옛날 여고괴담에나 나올법한 연출이랑 씨지 , 싸운드  무섭기보다 웃겼음.. 아쉬운게 그냥 조잡한 씨지 사운드 빼고 곡성처럼 분위기로 쭉쭉 밀고 갔으면 배우들 연기때문에 볼만했을꺼같음..그리고 묵언수행하는애가 멍청한연기를 너무 잘해.."
브레이브 언더 파이어,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=202534&target=after,10,감동ㅠㅠㅠㅠ누군가를 위해 희생한다는건 어려운결정일텐데
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,9,오나미 닮은 위도우 한명 나옴
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,8,재밌는데 뭔가 조금 부족한 느낌
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,참말 재밌음....시작부터 긴장하고 봄....혼자 깜놀하고ㅋ진짜 역대 최고야....외계인 없이 사람만 나와도 재미지네
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,10,블랙 위도우의 멋진 폼과 가족애 그리고 액션 큰 숟가락 한 스푼!
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,4,감동도 없고재미도 없고특히 액션 최악 빌런부제안봐도 무방블랙팬서급
캐시트럭,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=204214&target=after,10,진짜 오랜만에 묵직하게 재밌었음.
메이드 인 루프탑,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=199068&target=after,6,"참 산뜻한 퀴어영화였어요. 가볍고 즐겁게 관람했습니다. 배우진 연기도 탄탄했고 그 어떤 촌스러움 없이 mz세대를 느낄 수 있었어요. 마지막으로.. 옥탑방말고, 루프탑!"
블랙 위도우,https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=184318&target=after,1,개실망이다 진짜 완전 저 예산 마블 영화 최악
